GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Period,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date
22AFLPA7419P1Z8,SARAL MEDICALS,DD000180,Regular,14/05/2025,14806.2,Chhattisgarh,No,12900.04,0,953.08,953.08,0,May'25,10/06/2025,Yes,,100%,,,
09AAXFR8294C1ZE,RAR LIFE SCIENCES,RLS/25-26/26,Regular,19/05/2025,2702200,Chhattisgarh,No,2290000,412200,0,0,0,May'25,10/06/2025,Yes,,100%,E-Invoice,59200b1e79c8972c81bbd5adeecbff2ba3a06187b804db270cbe6c25a3c02fd7,19/05/2025
22ADKFS1249Q1ZM,S S HYDRAULICS & PNEUMATICS,00417/25-26,Regular,14/05/2025,2125,Chhattisgarh,No,1801,0,162.09,162.09,0,May'25,07/06/2025,Yes,,100%,,,
22DZMPS2079P1ZJ,SHRI BALAJI MOBILE,2024-25/057,Regular,07/03/2025,20650,Chhattisgarh,No,17500,0,1575,1575,0,Mar'25,23/05/2025,Yes,,100%,,,
10AABCI2726B1ZH,INTERGLOBE AVIATION LIMITED,BR1252605AB48909,Regular,06/05/2025,4803,Chhattisgarh,No,4574,229,0,0,0,May'25,11/06/2025,Yes,,100%,,,
29AABCI2726B1ZY,INTERGLOBE AVIATION LIMITED,KA1252605AJ33604,Regular,06/05/2025,6869,Chhattisgarh,No,6542,327,0,0,0,May'25,11/06/2025,Yes,,100%,,,
29AABCI2726B1ZY,INTERGLOBE AVIATION LIMITED,KA1252605AL42258,Regular,14/05/2025,4755,Chhattisgarh,No,4529,226,0,0,0,May'25,11/06/2025,Yes,,100%,,,
29AABCI2726B1ZY,INTERGLOBE AVIATION LIMITED,KA1252605AL59206,Regular,15/05/2025,499,Chhattisgarh,No,475,24,0,0,0,May'25,11/06/2025,Yes,,100%,,,
29AABCI2726B1ZY,INTERGLOBE AVIATION LIMITED,KA1252605AL68123,Regular,15/05/2025,5723,Chhattisgarh,No,5450,273,0,0,0,May'25,11/06/2025,Yes,,100%,,,
21AABCI2726B1ZE,INTERGLOBE AVIATION LIMITED,OR1252605AB17877,Regular,02/05/2025,2579,Chhattisgarh,No,2456,123,0,0,0,May'25,11/06/2025,Yes,,100%,,,
21AABCI2726B1ZE,INTERGLOBE AVIATION LIMITED,OR1252605AB29430,Regular,05/05/2025,2794,Chhattisgarh,No,2661,133,0,0,0,May'25,11/06/2025,Yes,,100%,,,
21AABCI2726B1ZE,INTERGLOBE AVIATION LIMITED,OR1252605AB37418,Regular,07/05/2025,199,Chhattisgarh,No,190,9,0,0,0,May'25,11/06/2025,Yes,,100%,,,
21AABCI2726B1ZE,INTERGLOBE AVIATION LIMITED,OR1252605AB39141,Regular,07/05/2025,2837,Chhattisgarh,No,2702,135,0,0,0,May'25,11/06/2025,Yes,,100%,,,
21AABCI2726B1ZE,INTERGLOBE AVIATION LIMITED,OR1252605AB41973,Regular,08/05/2025,2837,Chhattisgarh,No,2702,135,0,0,0,May'25,11/06/2025,Yes,,100%,,,
21AABCI2726B1ZE,INTERGLOBE AVIATION LIMITED,OR1252605AB70052,Regular,15/05/2025,3052,Chhattisgarh,No,2907,145,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22AALFS7164E1Z6,SURANA STORES,SS/25-26/461,Regular,05/05/2025,492600,Chhattisgarh,No,439821.42,0,26389.29,26389.29,0,May'25,11/06/2025,Yes,,100%,E-Invoice,159b58b84b1e67706b002cba7504085debed1dc7a190a55c37bd8c9786ea4c28,06/05/2025
22AGGPD1587P2Z6,Virad Enterprises,2025-26/01,Regular,09/04/2025,163961,Chhattisgarh,No,138950,0,12505.5,12505.5,0,Apr'25,12/05/2025,Yes,,100%,,,
22AAACE1741P1ZR,ARCELORMITTAL NIPPON STEEL INDIA PRIVATE LIMITED,CT20251000000071,Regular,09/05/2025,23.98,Chhattisgarh,No,19.98,0,2,2,0,May'25,10/06/2025,Yes,,100%,E-Invoice,e60a72e6952a2748cd2a4fc795bccc6f0f5e6bb1da877117a23dd486653d5289,09/05/2025
22AAACV2809D1ZW,VOLTAS LIMITED,I25221003240,Regular,20/05/2025,169782.33,Chhattisgarh,No,143883.33,0,12949.5,12949.5,0,May'25,09/06/2025,Yes,,100%,E-Invoice,4e4c9d69505638ea278ef1bba1d5c3a90ae8ef144b6d9291cf045158a3404035,20/05/2025
22ACHPJ3724F1Z2,ATUL PUBLICITY,APR/2025-26/0034,Regular,07/05/2025,41300,Chhattisgarh,No,35000,0,3150,3150,0,May'25,10/06/2025,Yes,,100%,,,
22ACHPJ3724F1Z2,ATUL PUBLICITY,APR/2025-26/0048,Regular,13/05/2025,26817,Chhattisgarh,No,25539.83,0,638.49,638.49,0,May'25,10/06/2025,Yes,,100%,E-Invoice,b91871e7fc0a7bc91e36dbab7cb7182e4e4125ead5f55c14817716d9896d1a00,14/05/2025
22ABUPA6174A2ZZ,SHRI SHYAM PLY HOME,SSPH/078/25-26,Regular,08/05/2025,144106,Chhattisgarh,No,122124.08,0,10991.17,10991.17,0,May'25,09/06/2025,Yes,,100%,,,
22AIFPH6319E1ZQ,BURHANI DOCUMENTATION SERVICES,2006,Regular,01/04/2025,1545.8,Chhattisgarh,No,1310,0,117.9,117.9,0,Apr'25,26/05/2025,Yes,,100%,,,
22AIFPH6319E1ZQ,BURHANI DOCUMENTATION SERVICES,2011,Regular,09/04/2025,2832,Chhattisgarh,No,2400,0,216,216,0,Apr'25,26/05/2025,Yes,,100%,,,
07AABCI2726B1Z4,Interglobe Aviation Limited,DL1252605AL67285,Regular,08/05/2025,6660,Chhattisgarh,No,6343,317,0,0,0,May'25,11/06/2025,Yes,,100%,,,
07AABCI2726B1Z4,Interglobe Aviation Limited,DL1252605AM45885,Regular,10/05/2025,199,Chhattisgarh,No,190,9,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22ACYFS7224A1Z4,SHREE PADAM SPORTS,SPD/25-26/02970,Regular,15/05/2025,670,Chhattisgarh,No,593.66,0,38.17,38.17,0,May'25,11/06/2025,Yes,,100%,,,
22AZGPJ5916K1ZB,SWASTIK ENTERPRISES,SE/25-26/038,Regular,23/05/2025,23485,Chhattisgarh,No,19902.54,0,1791.23,1791.23,0,May'25,11/06/2025,Yes,,100%,,,
22DVMPP3402D1ZY,M/S ISAR ENERGY SYSTEMS,ISR/25-26/25,Regular,01/05/2025,1000,Chhattisgarh,No,781,0,109.34,109.34,0,May'25,02/06/2025,Yes,,100%,,,
22DVMPP3402D1ZY,M/S ISAR ENERGY SYSTEMS,ISR/25-26/28,Regular,08/05/2025,24734,Chhattisgarh,No,20675,0,2029.5,2029.5,0,May'25,02/06/2025,Yes,,100%,,,
10EOZPK1588C1ZR,GENOMIC LIFE SCIENCE,GLS/003/2025-26,Regular,09/04/2025,1200,Chhattisgarh,No,1016.95,183.05,0,0,0,Apr'25,14/05/2025,Yes,,100%,,,
09AACCN6194P1ZN,NATIONAL AVIATION COMPANY OF INDIA LTD (NORTHERN REGION),092612BP05AAB563,Regular,07/05/2025,10823,Chhattisgarh,No,9502,476,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22AAGFC4604E1Z4,COMPU SHOPEE,MAY-183,Regular,23/05/2025,3300,Chhattisgarh,No,2796.61,0,251.69,251.69,0,May'25,11/06/2025,Yes,,100%,,,
06GWGPS2694Q1ZF,AVAIN LABS INTERNATIONAL,AL/25-26/75042,Regular,07/05/2025,41751,Chhattisgarh,No,35610.84,6140.16,0,0,0,May'25,10/06/2025,Yes,,100%,,,
22AAACS8577K1ZZ,STATE BANK OF INDIA,T0525221Z159,Regular,31/05/2025,7543.74,Chhattisgarh,No,6393,0,575.37,575.37,0,May'25,11/06/2025,Yes,,100%,,,
36ADHPT1560E1ZL,SRI RAJARAJESHWARA BOOK DEPOT KARIMNAGAR,3453,Regular,24/03/2025,3699,Chhattisgarh,No,3173.78,525.21,0,0,0,Mar'25,16/05/2025,Yes,,100%,,,
22CFEPK3286F2ZM,BASTARVEDA MARKETING,2025-26/01,Regular,02/05/2025,14694,Chhattisgarh,No,13120,0,787.2,787.2,0,May'25,10/06/2025,Yes,,100%,,,
22CFEPK3286F2ZM,BASTARVEDA MARKETING,2025-26/02,Regular,04/05/2025,83104,Chhattisgarh,No,74200,0,4452,4452,0,May'25,10/06/2025,Yes,,100%,,,
07ABOPF7835M2Z1,UNITY ADS & PRINT,UAP/25-26/058,Regular,28/05/2025,23109,Chhattisgarh,No,19584,3525,0,0,0,May'25,10/06/2025,Yes,,100%,,,
22AACCN6194P1ZZ,NATIONAL AVIATION COMPANY OF INDIA LTD (NORTHERN REGION),222612BP05AAA431,Regular,07/05/2025,12810,Chhattisgarh,No,11350,0,284,284,0,May'25,11/06/2025,Yes,,100%,,,
22AACCN6194P1ZZ,NATIONAL AVIATION COMPANY OF INDIA LTD (NORTHERN REGION),222612BP05AAA488,Regular,08/05/2025,6796,Chhattisgarh,No,5622,0,141,141,0,May'25,11/06/2025,Yes,,100%,,,
22AACCN6194P1ZZ,NATIONAL AVIATION COMPANY OF INDIA LTD (NORTHERN REGION),222612BP05AAA492,Regular,08/05/2025,6796,Chhattisgarh,No,5622,0,141,141,0,May'25,11/06/2025,Yes,,100%,,,
22AACCN6194P1ZZ,NATIONAL AVIATION COMPANY OF INDIA LTD (NORTHERN REGION),222612BP05AAA535,Regular,09/05/2025,8070,Chhattisgarh,No,6836,0,171,171,0,May'25,11/06/2025,Yes,,100%,,,
22AACCN6194P1ZZ,NATIONAL AVIATION COMPANY OF INDIA LTD (NORTHERN REGION),222612BP05AAB575,Regular,25/05/2025,4851,Chhattisgarh,No,3770,0,94.5,94.5,0,May'25,11/06/2025,Yes,,100%,,,
22AACCN6194P1ZZ,NATIONAL AVIATION COMPANY OF INDIA LTD (NORTHERN REGION),222612BP05AAB864,Regular,30/05/2025,9342,Chhattisgarh,No,8047,0,201.5,201.5,0,May'25,11/06/2025,Yes,,100%,,,
22AOFPV4825B1Z7,MAHAKAL ENTERPRISES,ME/25-26/0011,Regular,30/04/2025,600,Chhattisgarh,No,508.47,0,45.76,45.76,0,Apr'25,22/05/2025,Yes,,100%,,,
22AACFL3345F1ZT,LAKSHMI SCIENTIFIC WORKS,817,Regular,30/05/2025,149786,Chhattisgarh,No,126937.5,0,11424.38,11424.38,0,May'25,10/06/2025,Yes,,100%,E-Invoice,3f6726065af8fe54c468bfd80bdd9e47d1176321ee865fbc154216bb30f5edda,30/05/2025
22AXIPR8089F1Z2,R P COMPUTER,RP/25-26/22,Regular,15/05/2025,49399,Chhattisgarh,No,41863.56,0,3767.72,3767.72,0,May'25,11/06/2025,Yes,,100%,,,
21EEVPB3582M1Z3,M/S LAXMI TRADERS,2473,Regular,10/05/2025,94204.71,Odisha,No,79834.5,0,7185.11,7185.11,0,May'25,10/06/2025,No,POS and supplier state are same but recipient state is different,100%,,,
27AABCI2726B1Z2,INTERGLOBE AVIATION LIMITED,MH1252605AM03769,Regular,02/05/2025,5388,Chhattisgarh,No,5132,256,0,0,0,May'25,11/06/2025,Yes,,100%,,,
27AABCI2726B1Z2,INTERGLOBE AVIATION LIMITED,MH1252605AM19038,Regular,03/05/2025,7704,Chhattisgarh,No,7337,367,0,0,0,May'25,11/06/2025,Yes,,100%,,,
27AABCI2726B1Z2,INTERGLOBE AVIATION LIMITED,MH1252605AO00764,Regular,08/05/2025,5678,Chhattisgarh,No,5408,270,0,0,0,May'25,11/06/2025,Yes,,100%,,,
27AABCI2726B1Z2,INTERGLOBE AVIATION LIMITED,MH1252605AS41815,Regular,20/05/2025,15582,Chhattisgarh,No,14840,742,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22AAICT5169Q1ZO,TAXI STAND TECHNOLOGIES PRIVATE LIMITED,TS/25-26/O-2,Regular,08/04/2025,5287.52,Chhattisgarh,No,4721,0,283.26,283.26,0,Apr'25,19/05/2025,Yes,,100%,,,
22AAICT5169Q1ZO,TAXI STAND TECHNOLOGIES PRIVATE LIMITED,TS/25-26/O-3,Regular,08/04/2025,6542.56,Chhattisgarh,No,5788,0,347.28,347.28,0,Apr'25,19/05/2025,Yes,,100%,,,
22AADFB1714D1ZD,B R INSTRUMENTS AND EQUIPMENTS,25-26/374,Regular,01/05/2025,29028,Chhattisgarh,No,24600,0,2214,2214,0,May'25,10/06/2025,Yes,,100%,,,
22ABJPV7290D2ZG,RAIPUR MACHINE TOOLS,53,Regular,06/02/2020,14679,Chhattisgarh,No,12440,0,1119.6,1119.6,0,Mar'20,21/05/2025,No,Return filed post annual cut-off,100%,,,
22AAEPI4358P1ZH,BHARAT ELECTRICALS STORES,44,Regular,01/05/2025,4965,Chhattisgarh,No,4208,0,378.72,378.72,0,May'25,13/06/2025,Yes,,100%,,,
22AAEPI4358P1ZH,BHARAT ELECTRICALS STORES,51,Regular,02/05/2025,4991,Chhattisgarh,No,4230,0,380.7,380.7,0,May'25,13/06/2025,Yes,,100%,,,
22AAEPI4358P1ZH,BHARAT ELECTRICALS STORES,54,Regular,03/05/2025,4366,Chhattisgarh,No,3700,0,333,333,0,May'25,13/06/2025,Yes,,100%,,,
22AAEPI4358P1ZH,BHARAT ELECTRICALS STORES,56,Regular,05/05/2025,3363,Chhattisgarh,No,2850,0,256.5,256.5,0,May'25,13/06/2025,Yes,,100%,,,
07AACCN6194P2ZQ,AIR INDIA LIMITED,072612BP05AAM970,Regular,02/05/2025,7503,Chhattisgarh,No,6689,335,0,0,0,May'25,11/06/2025,Yes,,100%,,,
07AACCN6194P2ZQ,AIR INDIA LIMITED,072612BP05ABU808,Regular,08/05/2025,5975,Chhattisgarh,No,5234,262,0,0,0,May'25,11/06/2025,Yes,,100%,,,
07AACCN6194P2ZQ,AIR INDIA LIMITED,072612BP05ABU907,Regular,08/05/2025,6892,Chhattisgarh,No,6107,306,0,0,0,May'25,11/06/2025,Yes,,100%,,,
07AACCN6194P2ZQ,AIR INDIA LIMITED,072612BP05AGE698,Regular,25/05/2025,20428,Chhattisgarh,No,18999,950,0,0,0,May'25,11/06/2025,Yes,,100%,,,
07AACCN6194P2ZQ,AIR INDIA LIMITED,072612BP05AHN391,Regular,30/05/2025,8929,Chhattisgarh,No,8047,403,0,0,0,May'25,11/06/2025,Yes,,100%,,,
19ACRPC7778A1ZA,INTECH CORPORATION,IC/20,Regular,10/05/2025,1097400,Chhattisgarh,No,930000,167400,0,0,0,May'25,11/06/2025,Yes,,100%,E-Invoice,6667b4c095c91f066defac2b5a6684af3ca98022b653c12c2934aa1348b46376,10/05/2025
27AAJCM7667D1Z4,MASTERSOFT ERP SOLUTIONS PRIVATE LIMITED,2025-2026/0077,Regular,28/05/2025,731600,Chhattisgarh,No,620000,111600,0,0,0,May'25,10/06/2025,Yes,,100%,E-Invoice,d0d9fcc21691507fdda76db16d9cb80922a3c5eaac6774a76d95f492e06a13b9,31/05/2025
09AABCI2726B1Z0,M/S  INTERGLOBE AVIATION LIMTED,UP1252605AC78828,Regular,02/05/2025,9698,Chhattisgarh,No,9236,462,0,0,0,May'25,11/06/2025,Yes,,100%,,,
09AABCI2726B1Z0,M/S  INTERGLOBE AVIATION LIMTED,UP1252605AC81612,Regular,03/05/2025,6019,Chhattisgarh,No,5732,287,0,0,0,May'25,11/06/2025,Yes,,100%,,,
09AABCI2726B1Z0,M/S  INTERGLOBE AVIATION LIMTED,UP1252605AD21221,Regular,07/05/2025,9078,Chhattisgarh,No,8646,432,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22AAGCS0166A2Z0,SINGHANIA SAROVAR PORTICO,BQ6641BIL0000003,Regular,03/04/2025,103950,Chhattisgarh,No,99000,0,2475,2475,0,Apr'25,12/05/2025,Yes,,100%,,,
22AAGCS0166A2Z0,SINGHANIA SAROVAR PORTICO,BQ6641BIL0000021,Regular,18/04/2025,23940,Chhattisgarh,No,22800,0,570,570,0,Apr'25,12/05/2025,Yes,,100%,,,
22AAAGR0433H1ZS,RAIPUR HO,951658756,Regular,07/05/2025,14938.8,Chhattisgarh,No,12660,0,1139.4,1139.4,0,May'25,11/06/2025,Yes,,100%,,,
22AMLPK0715F1ZJ,RIYA COSMETIC,469,Regular,05/02/2025,21500,Chhattisgarh,No,18220.28,0,1639.83,1639.83,0,Mar'25,20/05/2025,Yes,,100%,,,
24AAGCH8319G1ZL,HANSGOLD CHEMDISCOVERIES PRIVATE LIMITED,HCL/30/25-26,Regular,29/05/2025,1684,Chhattisgarh,No,1427,256.86,0,0,0,May'25,09/06/2025,Yes,,100%,,,
22CLVPM7595N1ZY,MAMTA MACHINERIES,185,Regular,26/04/2025,2360,Chhattisgarh,No,2000,0,180,180,0,Apr'25,20/05/2025,Yes,,100%,,,
27AAACC7258B1ZW,CUMMINS INDIA LTD,26100052641,Regular,28/05/2025,101595.36,Chhattisgarh,No,86097.76,15497.6,0,0,0,May'25,10/06/2025,Yes,,100%,,,
24AABCI2726B1Z8,INTERGLOBE AVIATION LIMITED,GJ1252605AF66403,Regular,20/05/2025,7390,Chhattisgarh,No,7037,353,0,0,0,May'25,11/06/2025,Yes,,100%,,,
24AABCI2726B1Z8,INTERGLOBE AVIATION LIMITED,GJ1252605AG49192,Regular,28/05/2025,8370,Chhattisgarh,No,7971,399,0,0,0,May'25,11/06/2025,Yes,,100%,,,
24AABCI2726B1Z8,INTERGLOBE AVIATION LIMITED,GJ1252605AG50653,Regular,28/05/2025,8335,Chhattisgarh,No,7938,397,0,0,0,May'25,11/06/2025,Yes,,100%,,,
27ABGPD6959C1ZO,SCIENTIFIC CORPORATION,SC/2025-26/205,Regular,13/05/2025,1197000,Chhattisgarh,No,1014406.78,182593.22,0,0,0,May'25,11/06/2025,Yes,,100%,E-Invoice,2d98aab2d2b7a51f0f55df65231163ebc8761b74657e3fcb77c9bfc6d12bf9a3,13/05/2025
33AFWPD6479D1Z6,SWAM EQUIP,SE25INV002,Regular,12/05/2025,33127.91,Chhattisgarh,No,28074.5,5053.41,0,0,0,May'25,11/06/2025,Yes,,100%,,,
23AARFN7218E1Z8,NEXUS ENGINEERING WORKS,980,Regular,06/05/2025,64425,Chhattisgarh,No,54597.45,9827.54,0,0,0,May'25,09/06/2025,Yes,,100%,,,
22ANNPB1170A1ZV,Khandelwal Plastic Industries,KPI/25-26/01523,Regular,13/05/2025,164,Chhattisgarh,No,139.16,0,12.52,12.52,0,May'25,11/06/2025,Yes,,100%,,,
22AEVPJ6615H1ZC,COMPUTER SQUARE,CS1031,Regular,01/04/2025,2549,Chhattisgarh,No,2160.54,0,194.44,194.44,0,May'25,13/06/2025,Yes,,100%,,,
22AEVPJ6615H1ZC,COMPUTER SQUARE,CS1051,Regular,19/04/2025,4230,Chhattisgarh,No,3552.97,0,338.52,338.52,0,May'25,13/06/2025,Yes,,100%,,,
22AEVPJ6615H1ZC,COMPUTER SQUARE,CS1055,Regular,24/04/2025,1250,Chhattisgarh,No,1059.32,0,95.34,95.34,0,May'25,13/06/2025,Yes,,100%,,,
22ADUPM8776G1ZW,ALANKAR STATIONERS,Pos/05/79,Regular,06/05/2025,235,Chhattisgarh,No,203.7,0,15.66,15.66,0,May'25,10/06/2025,Yes,,100%,,,
22ATSPS6171K2Z0,CLEANTECH SERVICES AND WORKFORCE,CSW/25-26/129,Regular,10/05/2025,933653,Chhattisgarh,No,791231.35,0,71210.82,71210.82,0,May'25,10/06/2025,Yes,,100%,E-Invoice,86ef190bd921e7bd26d4f7ec05b07eb243f3eaa075406bc00f47406b38c34f35,10/05/2025
22AGJPM1884D1ZK,M/S MUNDHRA MARKETING,1264,Regular,27/03/2025,4740,Chhattisgarh,No,4159.48,0,290.25,290.25,0,Mar'25,14/05/2025,Yes,,100%,,,
29ABAFP2637B1ZI,PMC CORPORATION,PMCC/B0170,Regular,03/05/2025,23600,Chhattisgarh,No,20000,3600,0,0,0,May'25,06/06/2025,Yes,,100%,E-Invoice,96d8ce0078a25cc4484a73276cb10128843dde0e341217770122d3b03cb5b00e,03/05/2025
22ADEPB7546B1Z7,OM AGENCY,2025-26/007,Regular,06/05/2025,248390,Chhattisgarh,No,210500,0,18945,18945,0,May'25,10/06/2025,Yes,,100%,,,
09JGPPS7917L1Z4,M/S SILICA NANO SOLUTIONS,INV0103,Regular,18/04/2025,15694,Chhattisgarh,No,13300,2394,0,0,0,Apr'25,20/05/2025,Yes,,100%,,,
22AACFK7666E1ZG,KASLIWAL BROTHERS,363,Regular,01/05/2025,860,Chhattisgarh,No,729,0,65.61,65.61,0,May'25,10/06/2025,Yes,,100%,,,
22AACFK7666E1ZG,KASLIWAL BROTHERS,390,Regular,03/05/2025,19470,Chhattisgarh,No,16500,0,1485,1485,0,May'25,10/06/2025,Yes,,100%,,,
22AACFK7666E1ZG,KASLIWAL BROTHERS,420,Regular,07/05/2025,101,Chhattisgarh,No,85.6,0,7.7,7.7,0,May'25,10/06/2025,Yes,,100%,,,
22AACFK7666E1ZG,KASLIWAL BROTHERS,421,Regular,07/05/2025,115.2,Chhattisgarh,No,97.62,0,8.79,8.79,0,May'25,10/06/2025,Yes,,100%,,,
22AACFK7666E1ZG,KASLIWAL BROTHERS,462,Regular,13/05/2025,3154,Chhattisgarh,No,2673,0,240.57,240.57,0,May'25,10/06/2025,Yes,,100%,,,
22AACFK7666E1ZG,KASLIWAL BROTHERS,511,Regular,15/05/2025,19470,Chhattisgarh,No,16500,0,1485,1485,0,May'25,10/06/2025,Yes,,100%,,,
22AACFK7666E1ZG,KASLIWAL BROTHERS,588,Regular,21/05/2025,47802,Chhattisgarh,No,40510,0,3645.9,3645.9,0,May'25,10/06/2025,Yes,,100%,,,
22AACFK7666E1ZG,KASLIWAL BROTHERS,618,Regular,26/05/2025,814,Chhattisgarh,No,690,0,62.1,62.1,0,May'25,10/06/2025,Yes,,100%,,,
22AACFK7666E1ZG,KASLIWAL BROTHERS,647,Regular,26/05/2025,425,Chhattisgarh,No,360,0,32.4,32.4,0,May'25,10/06/2025,Yes,,100%,,,
22AACFK7666E1ZG,KASLIWAL BROTHERS,682,Regular,27/05/2025,9310,Chhattisgarh,No,7890,0,710.1,710.1,0,May'25,10/06/2025,Yes,,100%,,,
27CDEPM2102E1Z4,TECHINSTRO INNOVATIONS,TECH/25-26/0032,Regular,27/05/2025,55763.99,Chhattisgarh,No,47257.62,8506.37,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22AAECS1548J1ZG,SCHINDLER INDIA PRIVATE LIMITED,CI2200008967,Regular,30/05/2025,106273.16,Chhattisgarh,No,90062,0,8105.58,8105.58,0,May'25,07/06/2025,Yes,,100%,E-Invoice,3778709454d70ae3e31fe90c21cc164141c31ea63724dd7f40dd063d7465decf,31/05/2025
23AAACL0916F1Z4,LIPI DATA SYSTEMS LIMITED,1625067000004,Regular,02/05/2025,7080,Chhattisgarh,No,6000,1080,0,0,0,May'25,10/06/2025,Yes,,100%,,,
23AAACL0916F1Z4,LIPI DATA SYSTEMS LIMITED,1625067000014,Regular,07/05/2025,7080,Chhattisgarh,No,6000,1080,0,0,0,May'25,10/06/2025,Yes,,100%,,,
22AAFFA2189K1ZI,A.S. ASSOCIATES,2025-26/044,Regular,22/05/2025,10421,Chhattisgarh,No,9925.12,0,248.13,248.13,0,May'25,10/06/2025,Yes,,100%,,,
22AAEFI0243H1ZZ,ICE CUBES SERVICES,CS25/37,Regular,30/04/2025,1680,Chhattisgarh,No,1600,0,40,40,0,Apr'25,24/05/2025,Yes,,100%,E-Invoice,9be26b986d90372e029803ca56ef34a5d8eebfd889340d3b0103bfe272b72d31,03/05/2025
