date,reference,description,accountCode,debit,credit,narration
2026-03-01,JV-001,Owner capital introduced,1001,500000,0,"Cash introduced by owner Aarav"
2026-03-01,JV-001,Owner capital introduced,3000,0,500000,"Owner's capital - Aarav"
2026-03-02,JV-002,Transfer to bank,1002,300000,0,"Funds moved from cash to bank current account"
2026-03-02,JV-002,Transfer to bank,1001,0,300000,"Cash reduced on transfer to bank"
2026-03-03,JV-003,Office rent paid in advance,1200,60000,0,"Prepaid office rent for first quarter"
2026-03-03,JV-003,Office rent paid in advance,1002,0,60000,"Bank paid for prepaid rent"
2026-03-04,JV-004,Branding and logo design fee,5100,15000,0,"Professional fees for brand identity and logo"
2026-03-04,JV-004,Branding and logo design fee,1002,0,15000,"Bank paid for branding and logo design"
2026-03-05,JV-005,Setup legal & registration fees,5100,8000,0,"Professional and registration fees before opening"
2026-03-05,JV-005,Setup legal & registration fees,1002,0,8000,"Bank paid for legal and registration costs"

2026-03-06,JV-006,Invoice INV-000001 sale (credit),1100,1006.88,0,"Receivable for INV-000001"
2026-03-06,JV-006,Invoice INV-000001 sale (credit),4000,0,899,"Sales revenue for INV-000001"
2026-03-06,JV-006,Invoice INV-000001 sale (credit),2202,0,53.94,"Output CGST 6% on INV-000001"
2026-03-06,JV-006,Invoice INV-000001 sale (credit),2203,0,53.94,"Output SGST 6% on INV-000001"
2026-03-07,JV-007,Invoice INV-000002 sale (cash),1001,2013.76,0,"Cash received for INV-000002"
2026-03-07,JV-007,Invoice INV-000002 sale (cash),4000,0,1798,"Sales revenue for INV-000002"
2026-03-07,JV-007,Invoice INV-000002 sale (cash),2202,0,107.88,"Output CGST 6% on INV-000002"
2026-03-07,JV-007,Invoice INV-000002 sale (cash),2203,0,107.88,"Output SGST 6% on INV-000002"
2026-03-08,JV-008,Invoice INV-000003 sale (online),1002,1006.88,0,"Bank received for INV-000003"
2026-03-08,JV-008,Invoice INV-000003 sale (online),4000,0,899,"Sales revenue for INV-000003"
2026-03-08,JV-008,Invoice INV-000003 sale (online),2202,0,53.94,"Output CGST 6% on INV-000003"
2026-03-08,JV-008,Invoice INV-000003 sale (online),2203,0,53.94,"Output SGST 6% on INV-000003"
2026-03-09,JV-009,Invoice INV-000004 export (zero-rated),1100,5000,0,"Receivable for zero-rated export invoice INV-000004"
2026-03-09,JV-009,Invoice INV-000004 export (zero-rated),4000,0,5000,"Zero-rated export revenue INV-000004"
2026-03-10,JV-010,Invoice INV-000005 inter-state (IGST),1100,2240,0,"Receivable for IGST invoice INV-000005"
2026-03-10,JV-010,Invoice INV-000005 inter-state (IGST),4000,0,2000,"Sales revenue for IGST invoice INV-000005"
2026-03-10,JV-010,Invoice INV-000005 inter-state (IGST),2201,0,240,"Output IGST 12% on INV-000005"
2026-03-11,JV-011,Invoice INV-000006 cash sale (exempt),1001,799,0,"Cash received for exempt sale INV-000006"
2026-03-11,JV-011,Invoice INV-000006 cash sale (exempt),4000,0,799,"Exempt sales revenue for INV-000006"
2026-03-12,JV-012,Invoice INV-000007 sale (graphic tees),1100,1118.88,0,"Receivable for INV-000007"
2026-03-12,JV-012,Invoice INV-000007 sale (graphic tees),4000,0,999,"Sales revenue for INV-000007"
2026-03-12,JV-012,Invoice INV-000007 sale (graphic tees),2202,0,59.94,"Output CGST 6% on INV-000007"
2026-03-12,JV-012,Invoice INV-000007 sale (graphic tees),2203,0,59.94,"Output SGST 6% on INV-000007"
2026-03-13,JV-013,Invoice INV-000008 sale (oversized shirt),1100,1006.88,0,"Receivable for INV-000008"
2026-03-13,JV-013,Invoice INV-000008 sale (oversized shirt),4000,0,899,"Sales revenue for INV-000008"
2026-03-13,JV-013,Invoice INV-000008 sale (oversized shirt),2202,0,53.94,"Output CGST 6% on INV-000008"
2026-03-13,JV-013,Invoice INV-000008 sale (oversized shirt),2203,0,53.94,"Output SGST 6% on INV-000008"
2026-03-14,JV-014,Invoice INV-000009 online sale (bundle),1002,2808.64,0,"Bank received for INV-000009"
2026-03-14,JV-014,Invoice INV-000009 online sale (bundle),4000,0,2516,"Sales revenue for INV-000009"
2026-03-14,JV-014,Invoice INV-000009 online sale (bundle),2202,0,146.32,"Output CGST 6% on INV-000009"
2026-03-14,JV-014,Invoice INV-000009 online sale (bundle),2203,0,146.32,"Output SGST 6% on INV-000009"

2026-03-15,JV-015,Expense EXP-000001 – office rent,5200,60000,0,"Rent expense for March (pre-opening)"
2026-03-15,JV-015,Expense EXP-000001 – office rent,1001,0,60000,"Cash paid for office rent EXP-000001"
2026-03-16,JV-016,Expense EXP-000002 – branding fee,5100,15000,0,"Professional fees for branding EXP-000002"
2026-03-16,JV-016,Expense EXP-000002 – branding fee,1002,0,15000,"Bank paid for branding EXP-000002"
2026-03-17,JV-017,Inventory purchase EXP-000003 (credit),1300,11000,0,"Inventory addition – 50 Graphic Tees @ 220"
2026-03-17,JV-017,Inventory purchase EXP-000003 (credit),2000,0,11000,"Payable for inventory purchase EXP-000003"
2026-03-18,JV-018,Inventory purchase EXP-000004 (credit),1300,21000,0,"Inventory addition – 30 Slim Fit Jeans @ 700"
2026-03-18,JV-018,Inventory purchase EXP-000004 (credit),2000,0,21000,"Payable for inventory purchase EXP-000004"
2026-03-19,JV-019,Expense EXP-000005 – utilities,5300,8000,0,"Electricity and utilities for March EXP-000005"
2026-03-19,JV-019,Expense EXP-000005 – utilities,1002,0,8000,"Bank paid for utilities EXP-000005"
2026-03-20,JV-020,Expense EXP-000006 – advertising,5400,12000,0,"Digital ads campaign EXP-000006"
2026-03-20,JV-020,Expense EXP-000006 – advertising,2000,0,12000,"Payable for advertising EXP-000006"
2026-03-21,JV-021,Inventory purchase EXP-000007 (cash with GST ITC),1300,15000,0,"Inventory addition – mixed stock EXP-000007"
2026-03-21,JV-021,Inventory purchase EXP-000007 (cash with GST ITC),1500,1800,0,"GST input credit on inventory EXP-000007"
2026-03-21,JV-021,Inventory purchase EXP-000007 (cash with GST ITC),1001,0,16800,"Cash paid for inventory purchase EXP-000007"
2026-03-22,JV-022,Expense EXP-000008 – consulting (with GST ITC),5100,10000,0,"Consulting fees EXP-000008"
2026-03-22,JV-022,Expense EXP-000008 – consulting (with GST ITC),1500,1800,0,"GST input credit on consulting EXP-000008"
2026-03-22,JV-022,Expense EXP-000008 – consulting (with GST ITC),1002,0,11800,"Bank paid for consulting EXP-000008"
2026-03-23,JV-023,Expense EXP-000009 – photo shoot,5100,9000,0,"Professional fees for product photo shoot EXP-000009"
2026-03-23,JV-023,Expense EXP-000009 – photo shoot,1002,0,9000,"Bank paid for photo shoot EXP-000009"
2026-03-24,JV-024,Expense EXP-000010 – content creation,5100,7000,0,"Content creation for social media EXP-000010"
2026-03-24,JV-024,Expense EXP-000010 – content creation,2000,0,7000,"Payable for content creation EXP-000010"
